title,author,isbn,avg_rating,user_rating,date_read,shelf,url,cover_url,genres,description
The Republic,Plato,0140449140,3.96,0,not set,to-read,https://www.goodreads.com/book/show/30289.The_Republic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925655l/30289._SY75_.jpg,"['Philosophy', 'Classics', 'Nonfiction', 'Politics', 'History', 'School', 'Literature']",
Papillon,"Charrière, Henri",0061120669,4.23,0,not set,to-read,https://www.goodreads.com/book/show/6882.Papillon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327865561l/6882._SY75_.jpg,"['Nonfiction', 'Biography', 'Classics', 'Memoir', 'Adventure', 'Autobiography', 'France']",
The Immortal Life of Henrietta Lacks,"Skloot, Rebecca",1400052173,4.13,0,not set,to-read,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878144l/6493208._SY75_.jpg,"['Nonfiction', 'Science', 'Book Club', 'History', 'Biography', 'Audiobook', 'Medicine']",
"Life, the Universe and Everything","Adams, Douglas",0345418905,4.17,0,not set,to-read,https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333577589l/8694._SX50_.jpg,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy']",
The Epic of Gilgamesh,Anonymous,0141026286,3.75,0,not set,to-read,https://www.goodreads.com/book/show/19351.The_Epic_of_Gilgamesh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388287904l/19351._SY75_.jpg,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Fantasy', 'Literature', 'School']",
An Ugly Truth: Inside Facebook's Battle for Domination,"Frenkel, Sheera",0063136740,3.97,0,not set,to-read,https://www.goodreads.com/book/show/56470423-an-ugly-truth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620397076l/56470423._SY75_.jpg,"['Nonfiction', 'Business', 'Technology', 'Politics', 'Audiobook', 'History', 'Biography']",
The Hitchhiker’s Guide to the Galaxy,"Adams, Douglas",,4.22,0,not set,to-read,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_SY75_.jpg,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy']",
The Help,"Stockett, Kathryn",0399155341,4.46,0,not set,to-read,https://www.goodreads.com/book/show/4667024-the-help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533l/4667024._SY75_.jpg,"['Fiction', 'Historical Fiction', 'Book Club', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']",
The Silmarillion,"Tolkien, J.R.R.",0618391118,4.03,0,not set,to-read,https://www.goodreads.com/book/show/7332.The_Silmarillion,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610045590l/7332._SX50_.jpg,"['Fantasy', 'Fiction', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Classics', 'Mythology']",
Inferno,Dante Alighieri,0812970063,4.03,0,not set,to-read,https://www.goodreads.com/book/show/15645.Inferno,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520255019l/15645._SY75_.jpg,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'School']",
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race","Lieberman, Daniel Z.",1946885118,4.14,0,not set,currently-reading,https://www.goodreads.com/book/show/38728977-the-molecule-of-more,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1715631200l/38728977._SY75_.jpg,"['Science', 'Nonfiction', 'Psychology', 'Neuroscience', 'Health', 'Self Help', 'Biology']",
"Walden or, Life in the Woods","Thoreau, Henry David",,3.78,4,"not set




not set",currently-reading,https://www.goodreads.com/book/show/16902.Walden_or_Life_in_the_Woods,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630470982l/16902._SY75_.jpg,"['Classics', 'Philosophy', 'Nonfiction', 'Nature', 'Memoir', 'Literature', 'Biography']",
